Dataframe of string 2 is:
     k  Observed  Possible
0    1         4         4
1    2        14        16
2    3        31        53
3    4        43        52
4    5        47        51
5    6        49        50
6    7        49        49
7    8        48        48
8    9        47        47
9   10        46        46
10  11        45        45
11  12        44        44
12  13        43        43
13  14        42        42
14  15        41        41
15  16        40        40
16  17        39        39
17  18        38        38
18  19        37        37
19  20        36        36
20  21        35        35
21  22        34        34
22  23        33        33
23  24        32        32
24  25        31        31
25  26        30        30
26  27        29        29
27  28        28        28
28  29        27        27
29  30        26        26
30  31        25        25
31  32        24        24
32  33        23        23
33  34        22        22
34  35        21        21
35  36        20        20
36  37        19        19
37  38        18        18
38  39        17        17
39  40        16        16
40  41        15        15
41  42        14        14
42  43        13        13
43  44        12        12
44  45        11        11
45  46        10        10
46  47         9         9
47  48         8         8
48  49         7         7
49  50         6         6
50  51         5         5
51  52         4         4
52  53         3         3
53  54         2         2
54  55         1         1

